achievement_id	status	source_png	processed_png	dds	grey_dds	not_eligible_dds	dimensions	alpha_status	notes
ireland_focus_tree_plan_kathleen_exposed	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_plan_kathleen_exposed.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_plan_kathleen_exposed.png	gfx/achievements/ireland_focus_tree_plan_kathleen_exposed.dds	gfx/achievements/ireland_focus_tree_plan_kathleen_exposed_grey.dds	gfx/achievements/ireland_focus_tree_plan_kathleen_exposed_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=975; contrast_sd=59.24; value_range=255
ireland_focus_tree_burn_the_contact	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_burn_the_contact.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_burn_the_contact.png	gfx/achievements/ireland_focus_tree_burn_the_contact.dds	gfx/achievements/ireland_focus_tree_burn_the_contact_grey.dds	gfx/achievements/ireland_focus_tree_burn_the_contact_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=1002; contrast_sd=56.19; value_range=255
ireland_focus_tree_revolutionary_all_island	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_revolutionary_all_island.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_revolutionary_all_island.png	gfx/achievements/ireland_focus_tree_revolutionary_all_island.dds	gfx/achievements/ireland_focus_tree_revolutionary_all_island_grey.dds	gfx/achievements/ireland_focus_tree_revolutionary_all_island_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=993; contrast_sd=56.99; value_range=255
ireland_focus_tree_compact_of_small_nations	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_compact_of_small_nations.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_compact_of_small_nations.png	gfx/achievements/ireland_focus_tree_compact_of_small_nations.dds	gfx/achievements/ireland_focus_tree_compact_of_small_nations_grey.dds	gfx/achievements/ireland_focus_tree_compact_of_small_nations_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=990; contrast_sd=55.72; value_range=255
ireland_focus_tree_atlantic_compact	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_atlantic_compact.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_atlantic_compact.png	gfx/achievements/ireland_focus_tree_atlantic_compact.dds	gfx/achievements/ireland_focus_tree_atlantic_compact_grey.dds	gfx/achievements/ireland_focus_tree_atlantic_compact_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=995; contrast_sd=60.18; value_range=255
ireland_focus_tree_conference_of_neutrals	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_conference_of_neutrals.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_conference_of_neutrals.png	gfx/achievements/ireland_focus_tree_conference_of_neutrals.dds	gfx/achievements/ireland_focus_tree_conference_of_neutrals_grey.dds	gfx/achievements/ireland_focus_tree_conference_of_neutrals_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=978; contrast_sd=53.25; value_range=255
ireland_focus_tree_common_platform	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_common_platform.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_common_platform.png	gfx/achievements/ireland_focus_tree_common_platform.dds	gfx/achievements/ireland_focus_tree_common_platform_grey.dds	gfx/achievements/ireland_focus_tree_common_platform_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=897; contrast_sd=54.67; value_range=255
ireland_focus_tree_restoration_without_a_crown	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_restoration_without_a_crown.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_restoration_without_a_crown.png	gfx/achievements/ireland_focus_tree_restoration_without_a_crown.dds	gfx/achievements/ireland_focus_tree_restoration_without_a_crown_grey.dds	gfx/achievements/ireland_focus_tree_restoration_without_a_crown_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=931; contrast_sd=54.11; value_range=255
ireland_focus_tree_cultural_epilogue	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_cultural_epilogue.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_cultural_epilogue.png	gfx/achievements/ireland_focus_tree_cultural_epilogue.dds	gfx/achievements/ireland_focus_tree_cultural_epilogue_grey.dds	gfx/achievements/ireland_focus_tree_cultural_epilogue_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=919; contrast_sd=48.99; value_range=255
ireland_focus_tree_watchmen_of_the_west	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_watchmen_of_the_west.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_watchmen_of_the_west.png	gfx/achievements/ireland_focus_tree_watchmen_of_the_west.dds	gfx/achievements/ireland_focus_tree_watchmen_of_the_west_grey.dds	gfx/achievements/ireland_focus_tree_watchmen_of_the_west_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=910; contrast_sd=48.08; value_range=255
ireland_focus_tree_no_crown_no_courier	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_no_crown_no_courier.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_no_crown_no_courier.png	gfx/achievements/ireland_focus_tree_no_crown_no_courier.dds	gfx/achievements/ireland_focus_tree_no_crown_no_courier_grey.dds	gfx/achievements/ireland_focus_tree_no_crown_no_courier_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=880; contrast_sd=40.82; value_range=255
ireland_focus_tree_amnesty_before_uprising	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_amnesty_before_uprising.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_amnesty_before_uprising.png	gfx/achievements/ireland_focus_tree_amnesty_before_uprising.dds	gfx/achievements/ireland_focus_tree_amnesty_before_uprising_grey.dds	gfx/achievements/ireland_focus_tree_amnesty_before_uprising_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=824; contrast_sd=52.79; value_range=255
ireland_focus_tree_every_county_accounted	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_every_county_accounted.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_every_county_accounted.png	gfx/achievements/ireland_focus_tree_every_county_accounted.dds	gfx/achievements/ireland_focus_tree_every_county_accounted_grey.dds	gfx/achievements/ireland_focus_tree_every_county_accounted_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=837; contrast_sd=59.73; value_range=255
ireland_focus_tree_reconciled_island	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_reconciled_island.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_reconciled_island.png	gfx/achievements/ireland_focus_tree_reconciled_island.dds	gfx/achievements/ireland_focus_tree_reconciled_island_grey.dds	gfx/achievements/ireland_focus_tree_reconciled_island_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=857; contrast_sd=60.49; value_range=255
ireland_focus_tree_no_claim_ladder	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_no_claim_ladder.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_no_claim_ladder.png	gfx/achievements/ireland_focus_tree_no_claim_ladder.dds	gfx/achievements/ireland_focus_tree_no_claim_ladder_grey.dds	gfx/achievements/ireland_focus_tree_no_claim_ladder_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=852; contrast_sd=45.14; value_range=255
ireland_focus_tree_no_fairy_dust	complete	docs/assets/ireland_focus_tree/source_png/ireland_focus_tree_no_fairy_dust.png	docs/assets/ireland_focus_tree/processed_png/ireland_focus_tree_no_fairy_dust.png	gfx/achievements/ireland_focus_tree_no_fairy_dust.dds	gfx/achievements/ireland_focus_tree_no_fairy_dust_grey.dds	gfx/achievements/ireland_focus_tree_no_fairy_dust_not_eligible.dds	64x64	opaque alpha 255	painted source crop/resize; colors=959; contrast_sd=58.06; value_range=255
